id,tags,quote,author
374505,"['discovery', 'science']","The trouble with science geeks, as you call them, is that hey put discovery before anything else. It was a science geek who discovered the atom bomb. He didn't intend to cause mass murder, but he did nonetheless.","Gemma Malley, The Resistance"
174102,"['learning', 'school']","They don't have regular time at school, you know. They have periods. All of a sudden an alarm goes off and you're supposed to drop what you're doing and rush off to a different room with a different teacher to do something completely different! How can anybody learn like that?","Gordon Korman, Schooled"
167703,"['magic', 'reading', 'words']","Don’t let me get sappy on you, but when you get right down to it, every collection of letters is a magic spell, even if it’s a moronic proclamation by the Emperor. Words have their impact, girl. Mind your manners. I may not know how to fly but I know how to read, and that’s almost the same thing.","Gregory Maguire, Out of Oz"
22655,['inspirational-quotes'],ife is impact and you have not lived unless you leave a trai,Christian  Michael
430764,"['Book', 'Time', 'War']","I grew up on EC comic books and 'Tales From the Crypt,' which were all loaded with humor, bad jokes, and puns. I can have that kind of fun and make these comic book movies but, at the same time, talk about things I want to talk about - whether it's consumerism or the Bush administration or war.",George A. Romero
344098,"['flirting', 'sexy']","Honestly, he'd said more perverted things to my face. To my boobs. Did he really think he was school-ing me in being sexy right now?Really? You're completely unimpressed?Zzzzzzzzzzz, I wrote back.","Christina Lauren, Beautiful Player"
115973,"['fashion', 'humor', 'inspirational', 'psychology', 'self-help', 'style']","Willpower is misunderstood. The very word suggests that wanting something badly enough bequeaths that necessary strength to achieve or overcome something. If that were the case, I'd be Michael Fassbender's missus by now.","Annmarie O'Connor, The Happy Closet"
398614,['commitment'],e're swallowed up only when we are willing for it to happen,Nathalie Sarraute
315734,"['constitution', 'equality', 'india']","On the 26th of January 1950, we are going to enter into a life of contradictions. In politics we will have equality and in social and economic life we will have inequality.In politics we will be recognizing the principle of one man one vote and one vote one value.In our social and economic life, we shall, by reason of our social and economic structure, continue to deny the principle of one man one value.How long shall we continue to live this life of contradictions? How long shall we continue to deny equality in our social and economic life? If we continue to deny it for long, we will do so only by putting our political democracy in peril. We must remove this contradiction at the earliest possible moment or else those who suffer from inequality will blow up the structure of political democracy which this Assembly has so laboriously built up.","B.R. Ambedkar, Writings And Speeches: A Ready Reference Manual"
373908,"['friendship', 'hospitality', 'listening', 'relationships']","To listen is very hard, because it asks of us so much interior stability that we no longer need to prove ourselves by speeches, arguments, statements, or declarations. True listeners no longer have an inner need to make their presence known. They are free to receive, to welcome, to accept.Listening is much more than allowing another to talk while waiting for a chance to respond. Listening is paying full attention to others and welcoming them into our very beings. The beauty of listening is that, those who are listened to start feeling accepted, start taking their words more seriously and discovering their own true selves. Listening is a form of spiritual hospitality by which you invite strangers to become friends, to get to know their inner selves more fully, and even to dare to be silent with you.","Henri J.M. Nouwen, Bread for the Journey: A Daybook of Wisdom and Faith"
88676,"['body-image', 'change', 'life']","The average personality re-shapes frequently, every few years even our bodies undergo a complete overhaul-desirable or not, it is a natural thing that we should change.","Truman Capote, Breakfast at Tiffany's"
327120,"['chick-lit', 'erotic-romance']","I think you spend too much time believing what other people see, rather than what you think.","Crescent, Sam"
163287,"['cocaine', 'demons', 'future', 'psychosis']","Everywhere I looked, demons of the future [were] on the battlegrounds of one’s emotional plane.",David Bowie
3635,['life'],"Perhaps - I want the old days back again and they'll never come back, and I am haunted by the memory of them and of the world falling about my ears. ","Margaret Mitchell, Gone with the Wind"
443516,"['Kids', 'Me', 'Poetry']","I was a victim of a stereotype. There were only two of us Negro kids in the whole class, and our English teacher was always stressing the importance of rhythm in poetry. Well, everybody knows - except us - that all Negroes have rhythms, so they elected me class poet.",Langston Hughes
71295,"['love-quotes', 'love-story']",ven the shortest love story reminds me of how much I love you,Terry a O'Neal
32928,"['chanel', 'clothes', 'clothing', 'create', 'creation', 'creativity', 'design', 'designer', 'fashion', 'image', 'interpret', 'interpretation', 'karl-lagerfeld', 'language', 'look', 'quote', 'quotes', 'real', 'reality', 'style']",ashion is a language that creates itself in clothes to interpret reality,Karl Lagerfeld
276740,"['humor', 'paranormal', 'richelle-mead', 'satanist', 'succubus', 'succubus-heat']","I stared. """"Canadian Satanists? You're sending me to a group of Canadian Satanists?","Richelle Mead, Succubus Heat"
224165,['humorous'], used to wonder what I was doing wrong. Now I know: just about everything,"Raegan Butcher, Stone Hotel"
297478,"['kiss', 'kisses', 'love']","It's the truth."""" Her voice was barely more than breath.""""I believe you."""" He was gently kissing his way along her jaw. """"You came all this way to bring me a photo.""""""""Yes."""" She said. """"Well, I can..this morning..here bring it.""""He raised his head, """"What?""""She glared at him, """"I can't talk when you're doing that.""""He grinned, dimples appearing. """"Sorry. Say it again.","Mary Jane Hathaway, These Sheltering Walls"
199470,"['faith', 'faith-is-magic', 'faith-is-magical', 'magic', 'magical', 'power-of-belief', 'power-of-faith', 'true-magic']",aith is the deepest and truest form of magic,"Seth Adam Smith, Rip Van Winkle and the Pumpkin Lantern"
104754,"['fate', 'history', 'purpose-in-life']","All his life he has been in the shadow of Grandfather, and of the man for whom he was named.""""...""""Then, Grandfather would tell us it has nothing to do with fame.”“He enjoyed the notoriety, though,” said Dash.“Agreed,” said Jimmy. “But he gained it from being so bloody brilliant at what he did. He didn’t set out to be the most fiendishly clever noble in history.”“Maybe that’s what Father knew from the start; it’s just getting the job done and let history decide what history will decide,” observed Dash.","Raymond E. Feist, Shards of a Broken Crown"
174970,"['belonging', 'community', 'interdependence', 'learning', 'oneness', 'unity']","Our culture values independence and isolation far too much, it seems to me--we have a hard time making ourselves part of things, of making ourselves responsible to others, and trusting others to be there for us. Sure, there's pain involved if we get hurt, but there's far more pain in isolation. I love community because God gave us other people to live with, not to pull away from, and I learn so much from others that I can't imagine my life without the learning I've gained from getting to know other people.",Tom Walsh
22225,"['in-everybody-s-mind', 'in-failure', 'inspirational-quotes', 'is-transformed', 'life-qoutes', 'never-doubt', 'our-thought', 'that-it-will-end', 'when-you-begin', 'with-something']","Never doubt, when you begin with something that it will end in failure. Our thought is transformed as picture in our mind.",Napz Cherub Pellazo
127801,"['family', 'humor', 'twins']",om has a massive sunflower for a soul so big there's hardly any room in her for organs. Jude and me have one soul between us that we have to share: a tree with its leaves on fire. And Dad has a plate of maggots for his,"Jandy Nelson, I'll Give You the Sun"
